cross_id,security,quantity_crossed,buyer_portfolio,seller_portfolio,buyer_original_quantity,seller_original_quantity
b567cbe7-1ee7-4e09-9ce1-e14307c76e1b,CAG US,10500,P-47227,S-17147,10500,-11000
50a2b69f-f4b9-4b44-a169-9d1e926df3a2,ETN US,400,P-36182,S-17147,400,-5800
6d8a5a07-15d9-4bae-b1b8-736451a61fa7,GAP US,3000,P-36182,S-17147,4200,-3000
7ba3a45f-306e-40b5-8458-eb80c6852285,LHX US,1000,S-17147,P-47227,13200,-1000
b458380a-d087-41b1-9a46-75ac7f27ec00,HPQ US,2600,P-47227,S-17147,7500,-2600
3d54546c-ad72-4ed0-9a5d-d5cd10b9dbdd,HD US,600,S-17147,P-36182,800,-600
388e0060-f6f5-41d3-bbc9-a83595ee2cd5,JNJ US,1400,S-17147,P-36182,1400,-19400
a8692013-387e-40b6-9131-1b54b3f322a7,KIM US,9000,P-47227,S-17147,9000,-10400
9d462cc4-8aea-47f5-9a09-ac2f5e0785a1,KSS US,11100,P-61230,S-17147,12382,-11100
52f7437f-e188-45e0-b294-8dc4d4d7e187,LNC US,2400,P-36182,S-17147,2600,-2400
8cf9358a-8f31-48fd-8bcc-0f0dc28ff1c9,LOW US,600,S-17147,P-36182,600,-800
29cefa6d-e235-4b9f-b644-3011bb031b94,MAN US,2800,P-36182,S-17147,2800,-3600
83a50dcf-7ce3-43dc-89dc-2e7182063359,MAT US,5600,P-36182,S-17147,5600,-8200
346a2dda-688f-4e58-8b6f-a940384c4ae8,MU US,800,P-36182,S-17147,800,-7000
19d260c6-a4fb-4e1c-a710-87ff30352bf6,NI US,5000,P-47227,S-17147,5000,-27000
9e07469f-8ee9-4de9-9abd-a483f2a681a4,WFC US,1400,P-36182,S-17147,1400,-77400
7568978f-d4f9-4424-97a3-50cfbff83613,OXY US,1600,S-17147,P-47227,1600,-8500
accdd6e6-4fe1-4d79-95bd-ff92912bf5e5,PPL US,800,P-47227,S-17147,6000,-800
d6fc874f-ffba-43f7-89b2-701865dd2b0e,PEP US,6000,P-93050,S-17147,6000,-14200
d3c55931-5772-47a8-b021-ff4ffd7767e1,PFE US,31000,P-93050,S-17147,31000,-71400
8018327e-9aab-4314-a692-398ed33daae3,PNC US,4000,P-93050,S-17147,4000,-6200
b2b7b51f-0938-4cf3-b3b1-c2abdee0e8f7,C US,1200,P-36182,S-17147,1200,-34800
09ea22b0-1fb7-4eea-b09a-ddc9aa7a19ad,PGR US,4000,P-93050,S-17147,4000,-9000
6223fd98-21cb-42b3-9183-958f840f04f8,SLB US,12400,P-93050,P-36182,144000,-12400
1d7f5780-5a15-426f-894b-07d487f9328b,TFC US,2400,P-36182,S-17147,2400,-24000
7b1e2a56-4b10-4644-b7d5-3ebc6b1beafd,TRV US,3000,P-93050,S-17147,3000,-4000
3a55fb96-ad3c-4c3f-a371-cc775c2519cc,PSA US,3000,P-93050,S-17147,3000,-4000
caa4a826-2052-45a9-8471-7b3017bcaadf,TXN US,600,P-36182,S-17147,600,-7800
e7fed10c-2b33-4b89-99d2-52ae11d08b5c,TJX US,6000,P-93050,S-17147,6000,-32400
f895e920-0c02-443c-b067-1aa453f6f020,RTX US,5000,P-93050,S-17147,5000,-187200
ffa76342-4765-4b4a-b9f7-c29611a75bc5,RTX US,800,P-36182,S-17147,800,-187200
f4f97068-5b01-48e0-a077-a8337dbd0559,VFC US,11400,P-47227,S-17147,13500,-11400
ac9b6f1e-3507-471e-95d3-d9f30a3d418c,VMC US,1000,S-17147,P-47227,7200,-1000
22892495-0248-460f-ac35-aa5a64fa1af5,WDC US,2500,P-47227,S-17147,2500,-3000
f75e5e36-ee66-47df-b7a4-2a7578f21d1d,WDC US,500,P-36182,S-17147,1200,-3000
781cc206-d187-4dea-a38e-eee8f889b0cd,AMGN US,3000,P-93050,S-17147,3000,-3600
bc652cba-e518-4261-b17b-508007656110,CMCSA US,3000,P-36182,S-17147,3000,-84000
b534cc05-7119-4098-8eb4-a6009881545b,TAP US,4000,P-47227,S-17147,4500,-4000
